[15-Nov-2019 03:03:02 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php on line 1269
[15-Nov-2019 03:03:02 UTC] PHP  11. Laravel\Lumen\Application->call() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:373
[15-Nov-2019 03:03:02 UTC] PHP  12. Illuminate\Container\BoundMethod::call() /Users/sky/Code/local/php/blog/vendor/illuminate/container/Container.php:564
[15-Nov-2019 03:03:02 UTC] PHP  13. Illuminate\Container\BoundMethod::callBoundMethod() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:31
[15-Nov-2019 03:03:02 UTC] PHP  14. Illuminate\Container\BoundMethod::Illuminate\Container\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:87
[15-Nov-2019 03:03:02 UTC] PHP  15. call_user_func_array:{/Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 03:03:02 UTC] PHP  16. App\Http\Controllers\BookController->cursor() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 03:03:02 UTC] PHP  17. App\Book->toArray() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:55
[15-Nov-2019 03:03:02 UTC] PHP  18. App\Book->attributesToArray() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:1038
[15-Nov-2019 03:03:02 UTC] PHP  19. App\Book->addCastAttributesToArray() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:102
[15-Nov-2019 03:03:02 UTC] PHP  20. App\Book->castAttribute() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:182
[15-Nov-2019 03:03:02 UTC] PHP  21. App\Book->getCastType() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:474
[15-Nov-2019 03:03:02 UTC] PHP  22. App\Book->getCasts() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:518
[15-Nov-2019 03:03:02 UTC] PHP  23. App\Book->getKeyName() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:859
[15-Nov-2019 03:05:46 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php on line 657
[15-Nov-2019 03:05:46 UTC] PHP Stack trace:
[15-Nov-2019 03:05:46 UTC] PHP   1. {main}() /Users/sky/Code/local/php/blog/public/index.php:0
[15-Nov-2019 03:05:46 UTC] PHP   2. Laravel\Lumen\Application->run() /Users/sky/Code/local/php/blog/public/index.php:28
[15-Nov-2019 03:05:46 UTC] PHP   3. Laravel\Lumen\Application->dispatch() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:107
[15-Nov-2019 03:05:46 UTC] PHP   4. Laravel\Lumen\Application->sendThroughPipeline() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:166
[15-Nov-2019 03:05:46 UTC] PHP   5. Laravel\Lumen\Application->Laravel\Lumen\Concerns\{closure}() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:413
[15-Nov-2019 03:05:46 UTC] PHP   6. Laravel\Lumen\Application->handleFoundRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:160
[15-Nov-2019 03:05:46 UTC] PHP   7. Laravel\Lumen\Application->callActionOnArrayBasedRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:260
[15-Nov-2019 03:05:46 UTC] PHP   8. Laravel\Lumen\Application->callControllerAction() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:275
[15-Nov-2019 03:05:46 UTC] PHP   9. Laravel\Lumen\Application->callLumenController() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:313
[15-Nov-2019 03:05:46 UTC] PHP  10. Laravel\Lumen\Application->callControllerCallable() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:339
[15-Nov-2019 03:05:46 UTC] PHP  11. Laravel\Lumen\Application->call() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:373
[15-Nov-2019 03:05:46 UTC] PHP  12. Illuminate\Container\BoundMethod::call() /Users/sky/Code/local/php/blog/vendor/illuminate/container/Container.php:564
[15-Nov-2019 03:05:46 UTC] PHP  13. Illuminate\Container\BoundMethod::callBoundMethod() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:31
[15-Nov-2019 03:05:46 UTC] PHP  14. Illuminate\Container\BoundMethod::Illuminate\Container\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:87
[15-Nov-2019 03:05:46 UTC] PHP  15. call_user_func_array:{/Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 03:05:46 UTC] PHP  16. App\Http\Controllers\BookController->chunks() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 03:05:46 UTC] PHP  17. Illuminate\Database\Eloquent\Builder->chunk() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:41
[15-Nov-2019 03:05:46 UTC] PHP  18. Illuminate\Database\Eloquent\Builder->get() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Concerns/BuildsQueries.php:28
[15-Nov-2019 03:05:46 UTC] PHP  19. Illuminate\Database\Eloquent\Builder->getModels() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:465
[15-Nov-2019 03:05:46 UTC] PHP  20. Illuminate\Database\Query\Builder->get() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:481
[15-Nov-2019 03:05:46 UTC] PHP  21. Illuminate\Database\Query\Builder->onceWithColumns() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Query/Builder.php:1952
[15-Nov-2019 03:05:46 UTC] PHP  22. Illuminate\Database\Query\Builder->Illuminate\Database\Query\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Query/Builder.php:2435
[15-Nov-2019 03:05:46 UTC] PHP  23. Illuminate\Database\Query\Builder->runSelect() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Query/Builder.php:1951
[15-Nov-2019 03:05:46 UTC] PHP  24. Illuminate\Database\MySqlConnection->select() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Query/Builder.php:1963
[15-Nov-2019 03:05:46 UTC] PHP  25. Illuminate\Database\MySqlConnection->run() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php:333
[15-Nov-2019 03:05:46 UTC] PHP  26. Illuminate\Database\MySqlConnection->runQueryCallback() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php:624
[15-Nov-2019 03:08:31 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /Users/sky/Code/local/php/blog/vendor/illuminate/database/DatabaseManager.php on line 65
[15-Nov-2019 03:08:31 UTC] PHP Stack trace:
[15-Nov-2019 03:08:31 UTC] PHP   1. {main}() /Users/sky/Code/local/php/blog/public/index.php:0
[15-Nov-2019 03:08:31 UTC] PHP   2. Laravel\Lumen\Application->run() /Users/sky/Code/local/php/blog/public/index.php:28
[15-Nov-2019 03:08:31 UTC] PHP   3. Laravel\Lumen\Application->dispatch() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:107
[15-Nov-2019 03:08:31 UTC] PHP   4. Laravel\Lumen\Application->sendThroughPipeline() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:166
[15-Nov-2019 03:08:31 UTC] PHP   5. Laravel\Lumen\Application->Laravel\Lumen\Concerns\{closure}() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:413
[15-Nov-2019 03:08:31 UTC] PHP   6. Laravel\Lumen\Application->handleFoundRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:160
[15-Nov-2019 03:08:31 UTC] PHP   7. Laravel\Lumen\Application->callActionOnArrayBasedRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:260
[15-Nov-2019 03:08:31 UTC] PHP   8. Laravel\Lumen\Application->callControllerAction() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:275
[15-Nov-2019 03:08:31 UTC] PHP   9. Laravel\Lumen\Application->callLumenController() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:313
[15-Nov-2019 03:08:31 UTC] PHP  10. Laravel\Lumen\Application->callControllerCallable() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:339
[15-Nov-2019 03:08:31 UTC] PHP  11. Laravel\Lumen\Application->call() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:373
[15-Nov-2019 03:08:31 UTC] PHP  12. Illuminate\Container\BoundMethod::call() /Users/sky/Code/local/php/blog/vendor/illuminate/container/Container.php:564
[15-Nov-2019 03:08:31 UTC] PHP  13. Illuminate\Container\BoundMethod::callBoundMethod() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:31
[15-Nov-2019 03:08:31 UTC] PHP  14. Illuminate\Container\BoundMethod::Illuminate\Container\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:87
[15-Nov-2019 03:08:31 UTC] PHP  15. call_user_func_array:{/Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 03:08:31 UTC] PHP  16. App\Http\Controllers\BookController->cursor() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 03:08:31 UTC] PHP  17. App\Book->toArray() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:56
[15-Nov-2019 03:08:31 UTC] PHP  18. App\Book->attributesToArray() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:1038
[15-Nov-2019 03:08:31 UTC] PHP  19. App\Book->addDateAttributesToArray() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:91
[15-Nov-2019 03:08:31 UTC] PHP  20. App\Book->asDateTime() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:129
[15-Nov-2019 03:08:31 UTC] PHP  21. App\Book->getDateFormat() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:748
[15-Nov-2019 03:08:31 UTC] PHP  22. App\Book->getConnection() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:819
[15-Nov-2019 03:08:31 UTC] PHP  23. Illuminate\Database\Eloquent\Model::resolveConnection() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:1167
[15-Nov-2019 03:08:31 UTC] PHP  24. Illuminate\Database\DatabaseManager->connection() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:1201
[15-Nov-2019 05:27:56 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php on line 145
[15-Nov-2019 05:27:56 UTC] PHP Stack trace:
[15-Nov-2019 05:27:56 UTC] PHP   1. {main}() /Users/sky/Code/local/php/blog/public/index.php:0
[15-Nov-2019 05:27:56 UTC] PHP   2. Laravel\Lumen\Application->run() /Users/sky/Code/local/php/blog/public/index.php:28
[15-Nov-2019 05:27:56 UTC] PHP   3. Laravel\Lumen\Application->dispatch() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:107
[15-Nov-2019 05:27:56 UTC] PHP   4. Laravel\Lumen\Application->sendThroughPipeline() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:166
[15-Nov-2019 05:27:56 UTC] PHP   5. Laravel\Lumen\Application->Laravel\Lumen\Concerns\{closure}() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:413
[15-Nov-2019 05:27:56 UTC] PHP   6. Laravel\Lumen\Application->handleFoundRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:160
[15-Nov-2019 05:27:56 UTC] PHP   7. Laravel\Lumen\Application->callActionOnArrayBasedRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:260
[15-Nov-2019 05:27:56 UTC] PHP   8. Laravel\Lumen\Application->callControllerAction() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:275
[15-Nov-2019 05:27:56 UTC] PHP   9. Laravel\Lumen\Application->callLumenController() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:313
[15-Nov-2019 05:27:56 UTC] PHP  10. Laravel\Lumen\Application->callControllerCallable() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:339
[15-Nov-2019 05:27:56 UTC] PHP  11. Laravel\Lumen\Application->call() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:373
[15-Nov-2019 05:27:56 UTC] PHP  12. Illuminate\Container\BoundMethod::call() /Users/sky/Code/local/php/blog/vendor/illuminate/container/Container.php:564
[15-Nov-2019 05:27:56 UTC] PHP  13. Illuminate\Container\BoundMethod::callBoundMethod() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:31
[15-Nov-2019 05:27:56 UTC] PHP  14. Illuminate\Container\BoundMethod::Illuminate\Container\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:87
[15-Nov-2019 05:27:56 UTC] PHP  15. call_user_func_array:{/Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 05:27:56 UTC] PHP  16. App\Http\Controllers\BookController->chunks() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 05:27:56 UTC] PHP  17. Illuminate\Database\Eloquent\Builder->chunk() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:42
[15-Nov-2019 05:27:56 UTC] PHP  18. App\Http\Controllers\BookController->App\Http\Controllers\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Concerns/BuildsQueries.php:39
[15-Nov-2019 05:27:56 UTC] PHP  19. Illuminate\Database\Eloquent\Collection->toArray() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:41
[15-Nov-2019 05:27:56 UTC] PHP  20. array_map() /Users/sky/Code/local/php/blog/vendor/illuminate/support/Collection.php:1708
[15-Nov-2019 05:27:56 UTC] PHP  21. Illuminate\Database\Eloquent\Collection->Illuminate\Support\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/support/Collection.php:1708
[15-Nov-2019 05:27:56 UTC] PHP  22. App\Book->toArray() /Users/sky/Code/local/php/blog/vendor/illuminate/support/Collection.php:1707
[15-Nov-2019 05:27:56 UTC] PHP  23. App\Book->attributesToArray() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:1038
[15-Nov-2019 05:27:56 UTC] PHP  24. App\Book->addMutatedAttributesToArray() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Concerns/HasAttributes.php:95
[15-Nov-2019 05:30:11 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 20480 bytes) in /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php on line 355
[15-Nov-2019 05:30:11 UTC] PHP Stack trace:
[15-Nov-2019 05:30:11 UTC] PHP   1. {main}() /Users/sky/Code/local/php/blog/public/index.php:0
[15-Nov-2019 05:30:11 UTC] PHP   2. Laravel\Lumen\Application->run() /Users/sky/Code/local/php/blog/public/index.php:28
[15-Nov-2019 05:30:11 UTC] PHP   3. Laravel\Lumen\Application->dispatch() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:107
[15-Nov-2019 05:30:11 UTC] PHP   4. Laravel\Lumen\Application->sendThroughPipeline() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:166
[15-Nov-2019 05:30:11 UTC] PHP   5. Laravel\Lumen\Application->Laravel\Lumen\Concerns\{closure}() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:413
[15-Nov-2019 05:30:11 UTC] PHP   6. Laravel\Lumen\Application->handleFoundRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:160
[15-Nov-2019 05:30:11 UTC] PHP   7. Laravel\Lumen\Application->callActionOnArrayBasedRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:260
[15-Nov-2019 05:30:11 UTC] PHP   8. Laravel\Lumen\Application->callControllerAction() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:275
[15-Nov-2019 05:30:11 UTC] PHP   9. Laravel\Lumen\Application->callLumenController() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:313
[15-Nov-2019 05:30:11 UTC] PHP  10. Laravel\Lumen\Application->callControllerCallable() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:339
[15-Nov-2019 05:30:11 UTC] PHP  11. Laravel\Lumen\Application->call() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:373
[15-Nov-2019 05:30:11 UTC] PHP  12. Illuminate\Container\BoundMethod::call() /Users/sky/Code/local/php/blog/vendor/illuminate/container/Container.php:564
[15-Nov-2019 05:30:11 UTC] PHP  13. Illuminate\Container\BoundMethod::callBoundMethod() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:31
[15-Nov-2019 05:30:11 UTC] PHP  14. Illuminate\Container\BoundMethod::Illuminate\Container\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:87
[15-Nov-2019 05:30:11 UTC] PHP  15. call_user_func_array:{/Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 05:30:11 UTC] PHP  16. App\Http\Controllers\BookController->chunks() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 05:30:11 UTC] PHP  17. Illuminate\Database\Eloquent\Builder->chunk() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:44
[15-Nov-2019 05:30:11 UTC] PHP  18. Illuminate\Database\Eloquent\Builder->get() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Concerns/BuildsQueries.php:28
[15-Nov-2019 05:30:11 UTC] PHP  19. Illuminate\Database\Eloquent\Builder->getModels() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:465
[15-Nov-2019 05:30:11 UTC] PHP  20. App\Book->hydrate() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:481
[15-Nov-2019 05:30:11 UTC] PHP  21. App\Book->__call() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:481
[15-Nov-2019 05:30:11 UTC] PHP  22. Illuminate\Database\Eloquent\Builder->hydrate() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:1570
[15-Nov-2019 05:30:11 UTC] PHP  23. array_map() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:261
[15-Nov-2019 05:30:11 UTC] PHP  24. Illuminate\Database\Eloquent\Builder->Illuminate\Database\Eloquent\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:261
[15-Nov-2019 05:30:11 UTC] PHP  25. App\Book->newFromBuilder() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:260
[15-Nov-2019 05:30:11 UTC] PHP  26. App\Book->newInstance() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Model.php:375
[15-Nov-2019 05:31:03 UTC] PHP Fatal error:  Allowed memory size of 134217728 bytes exhausted (tried to allocate 4096 bytes) in /Users/sky/Code/local/php/blog/vendor/doctrine/dbal/lib/Doctrine/DBAL/Driver/PDOStatement.php on line 117
[15-Nov-2019 05:31:03 UTC] PHP Stack trace:
[15-Nov-2019 05:31:03 UTC] PHP   1. {main}() /Users/sky/Code/local/php/blog/public/index.php:0
[15-Nov-2019 05:31:03 UTC] PHP   2. Laravel\Lumen\Application->run() /Users/sky/Code/local/php/blog/public/index.php:28
[15-Nov-2019 05:31:03 UTC] PHP   3. Laravel\Lumen\Application->dispatch() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:107
[15-Nov-2019 05:31:03 UTC] PHP   4. Laravel\Lumen\Application->sendThroughPipeline() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:166
[15-Nov-2019 05:31:03 UTC] PHP   5. Laravel\Lumen\Application->Laravel\Lumen\Concerns\{closure}() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:413
[15-Nov-2019 05:31:03 UTC] PHP   6. Laravel\Lumen\Application->handleFoundRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:160
[15-Nov-2019 05:31:03 UTC] PHP   7. Laravel\Lumen\Application->callActionOnArrayBasedRoute() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:260
[15-Nov-2019 05:31:03 UTC] PHP   8. Laravel\Lumen\Application->callControllerAction() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:275
[15-Nov-2019 05:31:03 UTC] PHP   9. Laravel\Lumen\Application->callLumenController() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:313
[15-Nov-2019 05:31:03 UTC] PHP  10. Laravel\Lumen\Application->callControllerCallable() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:339
[15-Nov-2019 05:31:03 UTC] PHP  11. Laravel\Lumen\Application->call() /Users/sky/Code/local/php/blog/vendor/laravel/lumen-framework/src/Concerns/RoutesRequests.php:373
[15-Nov-2019 05:31:03 UTC] PHP  12. Illuminate\Container\BoundMethod::call() /Users/sky/Code/local/php/blog/vendor/illuminate/container/Container.php:564
[15-Nov-2019 05:31:03 UTC] PHP  13. Illuminate\Container\BoundMethod::callBoundMethod() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:31
[15-Nov-2019 05:31:03 UTC] PHP  14. Illuminate\Container\BoundMethod::Illuminate\Container\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:87
[15-Nov-2019 05:31:03 UTC] PHP  15. call_user_func_array:{/Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29}() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 05:31:03 UTC] PHP  16. App\Http\Controllers\BookController->cursor() /Users/sky/Code/local/php/blog/vendor/illuminate/container/BoundMethod.php:29
[15-Nov-2019 05:31:03 UTC] PHP  17. Illuminate\Database\Eloquent\Builder->cursor() /Users/sky/Code/local/php/blog/app/Http/Controllers/BookController.php:59
[15-Nov-2019 05:31:03 UTC] PHP  18. Illuminate\Database\MySqlConnection->cursor() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Eloquent/Builder.php:605
[15-Nov-2019 05:31:03 UTC] PHP  19. Illuminate\Database\MySqlConnection->run() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php:367
[15-Nov-2019 05:31:03 UTC] PHP  20. Illuminate\Database\MySqlConnection->runQueryCallback() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php:624
[15-Nov-2019 05:31:03 UTC] PHP  21. Illuminate\Database\MySqlConnection->Illuminate\Database\{closure}() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php:657
[15-Nov-2019 05:31:03 UTC] PHP  22. Doctrine\DBAL\Driver\PDOStatement->execute() /Users/sky/Code/local/php/blog/vendor/illuminate/database/Connection.php:364
